Game,Level,Score,TimeStep,TimeMinute
Starter Example Result,,,,
613,1,8740,2788,3.5E-4
614,3,11560,5125,6.166666666666666E-4
615,2,6630,3571,4.166666666666667E-4
616,3,12700,5899,8.333333333333334E-4
617,2,8210,4228,5.666666666666667E-4
618,1,6260,2198,2.5E-4
619,1,5940,2965,3.5E-4
620,5,23620,9230,0.0012166666666666667
621,2,7250,3500,4.5E-4
622,1,3630,1403,1.8333333333333334E-4
623,6,24480,12904,0.0017333333333333333
624,2,4520,2846,4.0E-4
625,4,21180,8008,0.00105
626,4,17780,7124,9.0E-4
627,2,5040,2116,2.666666666666667E-4
628,2,7280,4147,5.5E-4
629,1,5420,1631,2.0E-4
630,2,6100,2301,2.8333333333333335E-4
631,2,9780,3040,3.8333333333333334E-4
632,2,12990,4965,6.5E-4
633,3,14950,6327,8.166666666666667E-4
634,3,19360,5872,8.0E-4
635,8,46410,17018,0.0022500000000000003
636,5,32380,10339,0.0013
637,2,8780,4192,5.5E-4
638,1,7160,2257,3.0E-4
639,3,13790,5069,6.833333333333333E-4
640,1,4080,2298,2.666666666666667E-4
641,2,8530,5039,6.333333333333333E-4
642,1,4820,2295,2.8333333333333335E-4
643,1,5930,2876,3.6666666666666667E-4
644,1,4190,1565,2.0E-4
645,1,4030,1568,2.0E-4
646,2,7600,3841,5.166666666666667E-4
647,2,11680,4544,5.833333333333334E-4
648,2,7040,2132,2.666666666666667E-4
649,1,5640,2770,3.1666666666666665E-4
650,5,28470,10812,0.0014
651,1,4250,2025,2.3333333333333333E-4
652,5,24710,9606,0.0012333333333333332
653,2,8340,3651,4.6666666666666666E-4
654,2,9430,3125,4.0E-4
655,2,7830,3410,4.6666666666666666E-4
656,3,13910,5491,6.833333333333333E-4
657,1,6250,2158,2.666666666666667E-4
658,7,31030,14073,0.0018166666666666667
659,1,7140,2326,3.0E-4
660,4,17580,7047,9.333333333333333E-4
661,5,20280,10571,0.0013833333333333334
662,5,24430,11258,0.0013666666666666666
663,1,7060,1872,2.3333333333333333E-4
664,2,9380,3479,4.8333333333333334E-4
665,5,22300,10150,0.0012666666666666666
666,2,9600,3847,5.333333333333334E-4
667,2,4260,2364,3.0E-4
668,3,16350,5878,7.333333333333333E-4
669,2,5460,2467,3.5E-4
670,2,5910,2438,3.0E-4
671,3,14570,5479,8.5E-4
672,1,2770,1327,1.8333333333333334E-4
673,5,24890,10557,0.0012833333333333334
674,4,23740,8458,0.0010833333333333333
675,1,8710,2485,2.8333333333333335E-4
676,3,16100,5298,6.833333333333333E-4
677,1,7220,2331,2.8333333333333335E-4
678,2,7620,4167,5.0E-4
679,5,21160,10383,0.00135
680,3,15680,6116,8.5E-4
681,2,8230,3713,5.333333333333334E-4
682,5,25100,10432,0.0014
683,5,26620,10446,0.0013833333333333334
684,2,7020,1994,2.5E-4
685,1,4620,1906,3.1666666666666665E-4
686,1,7520,2501,3.0E-4
687,2,4860,2265,3.0E-4
688,2,8570,3862,5.166666666666667E-4
689,5,26500,11119,0.0014666666666666667
690,4,14560,7747,9.833333333333332E-4
691,5,25780,11546,0.0015166666666666666
692,2,9070,2915,3.6666666666666667E-4
693,3,13630,5163,7.0E-4
694,2,9540,3193,4.0E-4
695,4,18330,7332,9.666666666666667E-4
696,2,14550,5593,6.5E-4
697,4,18670,7592,9.166666666666666E-4
698,3,17610,6842,9.166666666666666E-4
699,4,16310,7342,9.833333333333332E-4
700,5,21180,9813,0.0013166666666666667
701,4,18780,7479,0.0010333333333333334
702,3,17370,8201,0.0010833333333333333
703,2,8420,4060,5.5E-4
704,2,7600,3545,4.6666666666666666E-4
705,2,7030,2706,3.333333333333333E-4
706,2,9160,3361,4.333333333333333E-4
707,2,8240,3971,5.166666666666667E-4
708,1,5940,2615,3.333333333333333E-4
709,2,9820,3009,4.0E-4
710,2,7290,2634,3.1666666666666665E-4
711,3,16200,4954,6.833333333333333E-4
712,1,5060,2534,3.0E-4
713,2,7780,3477,5.166666666666667E-4
714,1,4780,2119,2.5E-4
715,1,7780,2150,2.5E-4
716,1,4850,1323,1.8333333333333334E-4
717,2,9980,3425,4.5E-4
718,4,18010,7568,0.001
719,1,4890,1196,1.5E-4
720,2,7200,2605,3.6666666666666667E-4
721,5,25920,11228,0.0014833333333333332
722,3,16240,7766,9.666666666666667E-4
723,2,9190,2966,3.8333333333333334E-4
724,1,5980,2181,2.666666666666667E-4
725,3,16770,5792,7.666666666666667E-4
726,6,28230,12246,0.0016166666666666666
727,1,5020,1476,2.0E-4
728,1,4200,1148,1.5E-4
729,4,20280,8628,0.0012
730,4,18250,7561,0.001
731,4,20960,8403,0.0010833333333333333
732,2,6320,2613,3.333333333333333E-4
733,4,21730,9491,0.0012666666666666666
734,4,22430,9438,0.0012166666666666667
735,3,14370,5988,8.0E-4
736,1,5540,1876,2.666666666666667E-4
737,1,2450,1618,2.3333333333333333E-4
738,2,4750,2057,2.8333333333333335E-4
739,1,7380,2903,3.333333333333333E-4
740,4,20670,9191,0.00125
741,2,7660,2406,3.0E-4
742,3,12530,4667,6.166666666666666E-4
743,3,15240,7226,0.0010166666666666666
744,5,23720,9186,0.0012
745,3,17810,6234,8.333333333333334E-4
746,3,13150,5810,7.666666666666667E-4
747,2,7630,2636,3.0E-4
748,1,5140,2183,2.8333333333333335E-4
749,4,20230,7308,9.666666666666667E-4
750,4,17490,9980,0.0012833333333333334
751,3,12950,6188,8.5E-4
752,1,5380,1805,2.3333333333333333E-4
753,2,7860,2768,3.5E-4
754,2,6660,2384,3.0E-4
755,4,21570,8772,0.0011
756,1,3210,1141,1.6666666666666666E-4
757,6,28420,12188,0.0016
758,4,21560,8498,0.0010666666666666667
759,3,13850,5664,7.5E-4
760,3,15820,5959,7.833333333333334E-4
761,3,19270,7428,9.166666666666666E-4
762,5,22110,9920,0.0015666666666666667
763,3,17580,7565,9.333333333333333E-4
764,7,33750,15740,0.0021666666666666666
765,2,5410,3425,4.5E-4
766,6,26510,13706,0.00175
767,2,9850,4766,6.333333333333333E-4
768,2,6200,2631,3.333333333333333E-4
769,5,17930,8945,0.0013333333333333333
770,1,4270,1202,1.6666666666666666E-4
771,1,4920,1765,2.1666666666666666E-4
772,2,8620,3926,5.5E-4
773,2,7420,3331,4.166666666666667E-4
774,7,35970,15402,0.0020166666666666666
775,5,24410,10460,0.0014166666666666668
776,1,6840,1383,2.0E-4
777,3,13950,6819,8.833333333333333E-4
778,2,5830,2609,3.333333333333333E-4
779,2,6000,2510,3.1666666666666665E-4
780,2,12400,3466,4.6666666666666666E-4
781,2,5000,2003,2.5E-4
782,2,5260,2012,2.5E-4
783,1,7920,2132,2.8333333333333335E-4
784,1,4270,2652,3.1666666666666665E-4
785,5,19780,10599,0.0013666666666666666
786,4,14010,9300,0.0012333333333333332
787,1,5840,2576,3.0E-4
788,1,6340,2286,2.8333333333333335E-4
789,1,4840,2354,3.0E-4
790,3,13750,6245,8.0E-4
791,5,24750,10101,0.0012666666666666666
792,1,4390,2020,2.3333333333333333E-4
793,1,6910,1800,2.1666666666666666E-4
794,3,16530,6123,8.0E-4
795,2,10910,2399,3.1666666666666665E-4
796,2,11030,2703,3.6666666666666667E-4
797,5,25010,11123,0.00145
798,2,12070,4937,6.333333333333333E-4
799,2,6020,2272,2.8333333333333335E-4
800,5,23700,12185,0.00155
801,1,4280,2056,2.5E-4
802,2,6450,2703,3.5E-4
803,1,9310,1912,2.5E-4
804,5,20430,9466,0.0011833333333333333
805,2,11670,5286,0.0010833333333333333
806,5,21160,8708,0.0011833333333333333
807,2,7140,2971,3.6666666666666667E-4
808,6,25390,11918,0.0015166666666666666
809,6,27820,12706,0.0016666666666666668
810,2,8820,3111,4.5E-4
811,2,6790,2375,3.0E-4
812,1,4340,2239,2.5E-4
813,3,13690,4906,7.0E-4
814,2,9440,3547,4.6666666666666666E-4
815,2,13310,4927,6.0E-4
816,2,9810,3856,4.5E-4
817,2,6570,3602,4.6666666666666666E-4
818,5,25730,9539,0.0012166666666666667
819,4,14630,6976,9.0E-4
820,1,6720,2103,2.3333333333333333E-4
821,1,6620,2020,2.3333333333333333E-4
822,2,12940,3417,4.8333333333333334E-4
823,2,8020,2700,3.5E-4
824,5,27620,11518,0.0015166666666666666
825,4,21650,7581,0.0010166666666666666
826,5,27220,10360,0.0013833333333333334
827,3,13810,6756,8.666666666666666E-4
828,5,19700,9134,0.0013
829,5,22210,8764,0.0011666666666666668
830,5,23200,11278,0.0015
831,1,4430,1787,2.1666666666666666E-4
832,3,16660,5728,7.5E-4
833,3,14880,6254,9.0E-4
834,5,21660,9288,0.00125
835,2,5970,2837,3.5E-4
836,2,5470,2667,3.6666666666666667E-4
837,2,9610,3190,4.333333333333333E-4
838,1,4270,1313,1.8333333333333334E-4
839,1,4650,1984,2.666666666666667E-4
840,3,10820,5000,6.333333333333333E-4
841,1,5650,1543,1.8333333333333334E-4
842,3,14710,5276,7.333333333333333E-4
843,3,15460,5586,7.666666666666667E-4
844,7,28840,14476,0.0019333333333333333
845,6,27130,11348,0.00145
846,1,2450,1554,2.1666666666666666E-4
847,7,34000,15836,0.002116666666666667
848,3,15090,5600,6.833333333333333E-4
849,1,4520,2498,2.666666666666667E-4
850,2,8140,3084,4.0E-4
851,2,5400,2329,2.8333333333333335E-4
852,6,25830,12881,0.0016666666666666668
853,1,5460,2077,2.3333333333333333E-4
854,2,5510,2502,3.1666666666666665E-4
855,1,4410,2431,3.1666666666666665E-4
856,2,9600,5166,6.666666666666666E-4
857,7,32290,14712,0.0019666666666666665
858,4,23080,9545,0.0012333333333333332
859,1,3060,1245,1.6666666666666666E-4
860,5,25320,10075,0.0013166666666666667
861,1,4240,2594,3.1666666666666665E-4
862,4,17480,7235,9.333333333333333E-4
863,2,5400,3277,4.5E-4
864,1,6300,2294,3.1666666666666665E-4
865,1,6320,2607,3.0E-4
866,1,6040,2001,3.0E-4
867,5,24030,9714,0.00135
868,3,18550,6104,7.833333333333334E-4
869,7,28080,15250,0.0019666666666666665
870,1,3770,2493,3.0E-4
871,5,22140,10424,0.00135
872,2,9820,3598,4.5E-4
873,1,5990,2230,2.666666666666667E-4
874,5,22950,11013,0.0014166666666666668
875,5,24720,9436,0.0014166666666666668
876,4,17040,8303,0.0012
877,3,14690,6788,9.333333333333333E-4
878,5,19810,9491,0.0012166666666666667
879,5,24820,9868,0.0012833333333333334
880,3,10500,5109,6.333333333333333E-4
881,4,17370,7540,0.0010166666666666666
882,3,15410,6121,9.0E-4
883,2,10900,4604,6.166666666666666E-4
884,4,17440,7081,9.666666666666667E-4
885,2,9930,3041,4.166666666666667E-4
886,1,5580,2264,2.8333333333333335E-4
887,2,5930,3202,4.0E-4
888,4,16870,8365,0.0010666666666666667
889,5,29080,10182,0.0013666666666666666
890,5,21360,9732,0.0013333333333333333
891,3,12480,5453,7.5E-4
892,4,14040,8038,0.0010166666666666666
893,1,4500,1918,2.3333333333333333E-4
894,6,29600,11927,0.0015666666666666667
895,1,5460,2371,3.0E-4
896,5,23730,9756,0.0012833333333333334
897,3,15280,6003,8.0E-4
898,2,5100,2137,2.8333333333333335E-4
899,1,4720,2123,2.666666666666667E-4
900,2,6590,2863,3.8333333333333334E-4
901,1,5860,2579,2.8333333333333335E-4
902,1,4260,2296,2.666666666666667E-4
903,5,24920,11281,0.0015333333333333334
904,5,22910,8825,0.0011500000000000002
905,3,17360,7508,9.5E-4
906,4,18540,6470,8.333333333333334E-4
907,2,8800,3695,5.0E-4
908,2,7820,3321,4.0E-4
909,4,16390,7173,9.166666666666666E-4
910,4,22140,9081,0.0011500000000000002
911,4,25490,9162,0.0011333333333333334
912,6,31430,12315,0.0016
913,2,9210,3331,4.166666666666667E-4
914,2,8200,3822,4.8333333333333334E-4
915,1,6430,1709,2.1666666666666666E-4
916,2,9440,3171,4.0E-4
917,3,14970,6099,7.833333333333334E-4
918,2,12400,4514,5.666666666666667E-4
919,5,21720,9987,0.0012666666666666666
920,2,8230,3227,3.8333333333333334E-4
921,5,21110,9486,0.0012166666666666667
